Int_no,Rue_1,Rue_2,Arrondissement,X,Y,long,lat
1419,Saint-Jacques,Square Victoria Ouest,Ville-Marie,300049.22,5040108.5,-73.5607912877931,45.5008822446175
1420,Brébeuf,Rachel,Plateau Mont-Royal,299101.99,5043004.89,-73.572945758277,45.5269380435971
1421,18 e Avenue,Saint-Joseph,Rosemont - Petite-Patrie,299749.13,5046025.97,-73.5646922647311,45.5541278146352
1422,Docteur-Penfield,Drummond,Ville-Marie,298456.74,5040229.06,-73.5811703056045,45.5019544325743
1423,Duke,Ottawa,Ville-Marie,300325.87,5039660.19,-73.5572471702714,45.4968499864815
1424,9 e Avenue,Beaubien,Rosemont - Petite-Patrie,297976.88,5045987.74,-73.5873909396539,45.5537686981884
1425,Brébeuf,Mont-Royal,Plateau Mont-Royal,298706.2,5043264.09,-73.5780158699768,45.5292670763438
1426,Alphonse-D.-Roy,Sainte-Catherine,Mercier - Hochelaga - Maisonneuve,301460.98,5044098.36,-73.5427535027619,45.5367927971892
1427,Bonavista,Côte-Saint-Luc,Côte-des-Neiges - Notre-Dame-de-Grâce,295731.29,5038179.43,-73.6160080691839,45.4834808784258
1428,13 e Avenue,Saint-Zotique,Rosemont - Petite-Patrie,297857.34,5046405.45,-73.588927941763,45.5575262116479
1429,Bélanger,Normanville,Rosemont - Petite-Patrie,296430.89,5044719.21,-73.607170348965,45.5423371656577
1430,Anvers,Querbes,Villeray - Saint-Michel - Parc-Extension,293990.38,5043672.95,-73.6383990363589,45.532888958591
1431,Bloomfield,Jarry,Villeray - Saint-Michel - Parc-Extension,294178.1,5043445.59,-73.6359906731661,45.5308459782155
1432,Bloomfield,Ogilvy,Villeray - Saint-Michel - Parc-Extension,294963.47,5043117.93,-73.6259291388085,45.5279091008939
1433,Saint-Cuthbert,Saint-Laurent,Plateau Mont-Royal,298769.61,5041786.58,-73.5771858818633,45.5159724150469
1434,Hochelaga,Théodore,Mercier - Hochelaga - Maisonneuve,301416.64,5046684.71,-73.5433391224645,45.5600654810021
1435,Chabanel,Esplanade,Ahuntsic - Cartierville,292847.5,5044590.29,-73.6530540379248,45.5411248345633
